[2026-03-08T07:23:03.175Z] {"timestamp":1772954583017,"level":"ERROR","args":["[vite]","Failed to reload /src/components/ReportMap.tsx. This could be due to syntax errors or importing non-existent modules. (see errors above)"],"stack":"Error\n    at console.<computed> [as error] (https://5000-icsw1et07wvqtg7tpvkub-bcb0bf09.us2.manus.computer/__manus__/debug-collector.js:391:37)\n    at Object.error (https://5000-icsw1et07wvqtg7tpvkub-bcb0bf09.us2.manus.computer/@vite/client:809:26)\n    at HMRClient.warnFailedUpdate (https://5000-icsw1et07wvqtg7tpvkub-bcb0bf09.us2.manus.computer/@vite/client:181:15)\n    at HMRClient.fetchUpdate (https://5000-icsw1et07wvqtg7tpvkub-bcb0bf09.us2.manus.computer/@vite/client:212:10)\n    at async Promise.all (index 1)\n    at async HMRClient.queueUpdate (https://5000-icsw1et07wvqtg7tpvkub-bcb0bf09.us2.manus.computer/@vite/client:196:5)\n    at async Promise.all (index 0)\n    at async handleMessage (https://5000-icsw1et07wvqtg7tpvkub-bcb0bf09.us2.manus.computer/@vite/client:838:4)"}
[2026-03-08T07:23:03.176Z] {"timestamp":1772954583055,"level":"DEBUG","args":["[vite]","hot updated: /src/index.css"],"stack":null}
[2026-03-08T07:23:03.176Z] {"timestamp":1772954583059,"level":"DEBUG","args":["[vite]","hot updated: /src/components/ReportMap.tsx"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954593903,"level":"DEBUG","args":["[vite]","hot updated: /src/index.css"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954593913,"level":"DEBUG","args":["[vite]","hot updated: /src/pages/Report.tsx"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954593919,"level":"DEBUG","args":["[vite]","hot updated: /src/pages/Dashboard.tsx"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954593924,"level":"DEBUG","args":["[vite]","hot updated: /src/components/CashFlowTable.tsx"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954593930,"level":"DEBUG","args":["[vite]","hot updated: /src/components/GridConnectionSliders.tsx"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954593949,"level":"DEBUG","args":["[vite]","hot updated: /src/components/StakeholderValueChart.tsx"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954594311,"level":"DEBUG","args":["[vite]","hot updated: /src/index.css"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954594316,"level":"DEBUG","args":["[vite]","hot updated: /src/pages/Dashboard.tsx"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954594426,"level":"DEBUG","args":["[vite]","hot updated: /src/pages/MapView.tsx"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954594429,"level":"DEBUG","args":["[vite]","hot updated: /src/index.css"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954594478,"level":"DEBUG","args":["[vite]","hot updated: /src/index.css"],"stack":null}
[2026-03-08T07:23:15.165Z] {"timestamp":1772954594482,"level":"DEBUG","args":["[vite]","hot updated: /src/pages/Report.tsx"],"stack":null}
